Datum,Kalorien (kcal),Distanz (m),Durchschnittliche Herzfrequenz (bpm),Maximale Herzfrequenz (bpm),Minimale Herzfrequenz (bpm),Minimaler Breitengrad (Grad),Minimaler Längengrad (Grad),Maximaler Breitengrad (Grad),Maximaler Längengrad (Grad),Durchschnittsgeschwindigkeit (m/s),Maximale Geschwindigkeit (m/s),Minimale Geschwindigkeit (m/s),Schrittzahl,Durchschnittsgewicht (kg),Maximales Gewicht (kg),Minimales Gewicht (kg),Radfahren – Dauer (ms),Inaktiv – Dauer (ms),Gehen – Dauer (ms),Laufen – Dauer (ms),Leichter Schlaf – Dauer (ms),Tiefer Schlaf – Dauer (ms),Wachphase beim Schlafen – Dauer (ms)
2015-02-21,,28950.787109375,,,,47.262535095214844,7.8019843101501465,47.32306671142578,7.9005913734436035,,,,3742,,,,,80490636,1394407,,,,
2015-02-22,,915.8490600585938,,,,47.30424118041992,7.878734588623047,47.30477523803711,7.880393981933594,,,,335,,,,,86132760,,,,,
2015-02-23,,112223.421875,,,,46.947208404541016,7.434871196746826,47.30657958984375,7.880840301513672,,,,5451,,,,,78099731,2304062,200183,,,
2015-02-24,,253600.140625,,,,46.94759750366211,7.4348673820495605,47.31282043457031,7.950579643249512,,,,5119,,,,,76675382,2367146,135415,,,
2015-02-25,,140625.5,,,,46.94723129272461,7.434837818145752,47.31282043457031,7.924882888793945,,,,6079,,,,,78843973,2490020,185430,,,
2015-02-26,,122843.1875,,,,46.94728088378906,7.434860706329346,47.30657196044922,7.881303310394287,,,,4616,,,,,79100199,2008301,121835,,,
2015-02-27,,332947.1875,,,,46.94727325439453,7.434788227081299,47.47884750366211,8.160053253173828,,,,5097,,,,,75704855,2727075,,,,
2015-02-28,,56306.94921875,,,,47.375892639160156,8.04481029510498,47.4808235168457,8.09879207611084,,,,5215,,,,,78400682,2618098,,,,
2015-03-01,,97759.6484375,,,,47.30418395996094,7.877015113830566,47.47884750366211,8.19803237915039,,,,1088,,,,,83151067,57784,,,,
2015-03-02,,235932.578125,,,,46.947269439697266,7.434871196746826,47.306583404541016,7.880127429962158,,,,4294,,,,,79453752,1738294,155608,,,
