geneid,sample,mean
1,0.0,5.98574875
2,0.0,7.389146785714286
3,0.0,9.551269464285713
4,0.0,6.0754939285714284
5,0.0,2.868151607142857
6,0.0,9.069189464285714
7,0.0,3.902557857142857
8,0.0,3.3237376785714288
9,0.0,11.492675
10,0.0,3.641937142857143
11,0.0,3.5667980357142857
12,0.0,6.831033392857143
13,0.0,5.810665535714286
14,0.0,7.885056785714285
15,0.0,3.5343658928571426
16,0.0,9.375334285714287
17,0.0,2.9008719642857144
18,0.0,3.080658214285714
19,0.0,4.055474642857143
20,0.0,5.733948571428572
21,0.0,3.4446258928571427
22,0.0,3.9184976785714287
23,0.0,3.8886142857142856
24,0.0,4.211857678571429
25,0.0,5.385096964285714
26,0.0,5.934211785714286
27,0.0,7.71516625
28,0.0,4.1372425
29,0.0,8.210073928571429
30,0.0,3.48586375
31,0.0,5.7735908928571424
32,0.0,3.7833191071428574
33,0.0,4.562792142857143
34,0.0,4.221957142857143
35,0.0,6.303820178571429
36,0.0,7.277566428571428
37,0.0,6.16226
38,0.0,7.721573571428571
39,0.0,6.052714107142857
40,0.0,4.53553
41,0.0,5.314691607142857
42,0.0,3.9327175
43,0.0,5.483191964285714
44,0.0,3.8543342857142857
45,0.0,4.898803928571429
46,0.0,3.77268
47,0.0,6.82892875
48,0.0,6.27548875
49,0.0,5.83514625
50,0.0,5.295909642857143
51,0.0,3.683204107142857
52,0.0,3.1590608928571426
53,0.0,3.98074875
54,0.0,5.979193035714285
55,0.0,6.001580357142857
56,0.0,7.1751525
57,0.0,7.938945357142857
58,0.0,3.108354107142857
59,0.0,3.0213348214285713
60,0.0,6.100464285714286
61,0.0,5.71392875
62,0.0,6.035885178571428
63,0.0,3.8223816071428574
64,0.0,3.94638375
65,0.0,7.470130892857143
66,0.0,5.926366785714285
67,0.0,4.1208425
68,0.0,4.119495892857143
69,0.0,2.9758855357142857
70,0.0,5.957423392857143
71,0.0,8.629163392857143
72,0.0,3.035438214285714
73,0.0,4.292923928571429
74,0.0,3.0692182142857143
75,0.0,4.248281785714286
76,0.0,3.5156698214285713
77,0.0,9.574697321428571
78,0.0,3.1601489285714286
79,0.0,3.2123101785714288
80,0.0,4.176979642857143
81,0.0,3.3009901785714284
82,0.0,3.4537066071428573
83,0.0,3.0325917857142857
84,0.0,4.286228035714286
85,0.0,4.565343928571428
86,0.0,4.662477857142857
87,0.0,5.639365535714286
88,0.0,3.5960067857142857
89,0.0,3.2680198214285716
90,0.0,4.038099821428571
91,0.0,5.529195
92,0.0,3.029927857142857
93,0.0,9.145535357142856
94,0.0,4.219684464285714
95,0.0,3.194079642857143
96,0.0,4.269594821428571
97,0.0,3.8272153571428573
98,0.0,2.789449285714286
99,0.0,2.9601192857142857
100,0.0,3.894520714285714
101,0.0,3.22468875
102,0.0,2.856385714285714
103,0.0,3.5973660714285716
104,0.0,3.4377167857142856
105,0.0,2.975411785714286
106,0.0,2.9463878571428572
107,0.0,3.3915125
108,0.0,2.9345869642857143
109,0.0,2.77853125
110,0.0,3.36293625
111,0.0,4.293947321428572
112,0.0,4.235795535714286
